"year","flag_tsunami","flag_earthquake","volcano_name","country","elevation","volcano_type","volcanic_explosivity_index","volcano_deaths","volcano_deaths_description","volcano_injuries","volcano_injuries_description","volcano_damage_in_m","volcano_damage_description","volcano_houses_destroyed","volcano_houses_destroyed_description","lat","long"
1946,FALSE,FALSE,"Sakura-jima","Japan",1117,"Stratovolcano",2,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",31.58,130.67
1953,TRUE,FALSE,"St. Andrew Strait","Papua New Guinea",270,"Complex volcano",0,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-2.38,147.35
1976,FALSE,FALSE,"Sangay","Ecuador",5230,"Stratovolcano",3,2,"Few (~1 to 50)",4,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",-2.03,-78.33
1977,FALSE,FALSE,"Kliuchevskoi","Russia",4835,"Stratovolcano",3,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",56.057,160.638
1981,FALSE,FALSE,"Mayon","Philippines",2462,"Stratovolcano",NA,200,"Many (~101 to 1000)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",13.257,123.685
1992,FALSE,FALSE,"Karangetang [Api Siau]","Indonesia",1784,"Stratovolcano",1,6,"Few (~1 to 50)",1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",2.78,125.48
1994,TRUE,FALSE,"Rabaul","Papua New Guinea",688,"Pyroclastic shield",3,4,"Few (~1 to 50)",NA,"None/No Record",86,"EXTREME (~>=$25 million)",NA,"None/No Record",-4.271,152.203
1997,FALSE,FALSE,"Merapi","Indonesia",2947,"Stratovolcano",2,6,"Few (~1 to 50)",NA,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",-7.542,110.442
2005,FALSE,FALSE,"Manam","Papua New Guinea",1807,"Stratovolcano",4,1,"Few (~1 to 50)",14,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",-4.1,145.061
2006,FALSE,FALSE,"Raoul Island","New Zealand",516,"Stratovolcano",NA,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-29.27,-177.92
2014,FALSE,FALSE,"Fogo","Cape Verde",2829,"Stratovolcano",NA,NA,"None/No Record",NA,"None/No Record",NA,"MODERATE (~$1 to $5 million)",230,"Many (~101 to 1000)",14.95,-24.35
2015,FALSE,FALSE,"Manam","Papua New Guinea",1807,"Stratovolcano",2,NA,"None/No Record",2,"Few (~1 to 50)",NA,"LIMITED (~<$1 million)",NA,"None/No Record",-4.1,145.061
-1050,FALSE,FALSE,"Pinatubo","Philippines",1486,"Stratovolcano",6,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",15.13,120.35
764,FALSE,FALSE,"Sakura-jima","Japan",1117,"Stratovolcano",4,80,"Some (~51 to 100)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",31.58,130.67
766,TRUE,TRUE,"Sakura-jima","Japan",1117,"Stratovolcano",3,NA,"Many (~101 to 1000)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",31.58,130.67
