"year","flag_tsunami","flag_earthquake","volcano_name","country","elevation","volcano_type","volcanic_explosivity_index","volcano_deaths","volcano_deaths_description","volcano_injuries","volcano_injuries_description","volcano_damage_in_m","volcano_damage_description","volcano_houses_destroyed","volcano_houses_destroyed_description","lat","long"
-2420,FALSE,FALSE,"Vesuvius","Italy",1281,"Complex volcano",5,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",40.821,14.426
79,TRUE,TRUE,"Vesuvius","Italy",1281,"Complex volcano",5,2100,"Very Many (~1001 or more)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",40.821,14.426
1375,FALSE,FALSE,"Chichon, El","Mexico",1150,"Tuff cone",5,NA,"Some (~51 to 100)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",17.36,-93.228
1376,FALSE,FALSE,"Kelut","Indonesia",1731,"Stratovolcano",3,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-7.93,112.308
1538,FALSE,FALSE,"Campi Flegrei","Italy",458,"Caldera",3,24,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",40.827,14.139
1664,FALSE,FALSE,"Unzen","Japan",1500,"Complex volcano",2,30,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",32.75,130.3
1698,FALSE,FALSE,"Cotopaxi","Ecuador",5911,"Stratovolcano",3,NA,"Some (~51 to 100)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-0.677,-78.436
1775,FALSE,FALSE,"Gamalama","Indonesia",1715,"Stratovolcano",3,1300,"Very Many (~1001 or more)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",0.8,127.325
1800,FALSE,FALSE,"Mayon","Philippines",2462,"Stratovolcano",2,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",13.257,123.685
1822,FALSE,FALSE,"Usu","Japan",731,"Stratovolcano",4,50,"Few (~1 to 50)",53,"Some (~51 to 100)",NA,"None/No Record",NA,"Some (~51 to 100)",42.53,140.83
1822,FALSE,FALSE,"Galunggung","Indonesia",2168,"Stratovolcano",5,4011,"Very Many (~1001 or more)",NA,"None/No Record",NA,"SEVERE (~$5 to $24 million)",NA,"Many (~101 to 1000)",-7.25,108.05
1840,TRUE,FALSE,"Gamalama","Indonesia",1715,"Stratovolcano",2,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",0.8,127.325
1874,FALSE,FALSE,"Miyake-jima","Japan",815,"Stratovolcano",3,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",34.08,139.53
1911,TRUE,FALSE,"Piparo","Trinidad",140,"Mud volcano",NA,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",10,-61
1911,FALSE,FALSE,"Semeru","Indonesia",3676,"Stratovolcano",3,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",-8.108,112.92
1916,TRUE,FALSE,"Stromboli","Italy",926,"Stratovolcano",3,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",38.789,15.213
1928,FALSE,FALSE,"Dieng Volc Complex","Indonesia",2565,"Complex volcano",2,40,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-7.2,109.92
1933,TRUE,FALSE,"Bulusan","Philippines",1565,"Stratovolcano",2,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",12.77,124.05
1944,FALSE,FALSE,"Usu","Japan",731,"Stratovolcano",2,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",42.53,140.83
1953,FALSE,FALSE,"Ruapehu","New Zealand",2797,"Stratovolcano",NA,151,"Many (~101 to 1000)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-39.28,175.57
1966,FALSE,FALSE,"Kelut","Indonesia",1731,"Stratovolcano",4,215,"Many (~101 to 1000)",86,"Some (~51 to 100)",NA,"None/No Record",NA,"None/No Record",-7.93,112.308
1966,FALSE,FALSE,"Lengai, Ol Doinyo","Tanzania",2890,"Stratovolcano",4,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",-2.751,35.902
1969,FALSE,FALSE,"Narugo","Japan",462,"Caldera",NA,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",38.73,140.73
1971,FALSE,FALSE,"Hudson, Cerro","Chile",1905,"Stratovolcano",3,5,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-45.9,-72.97
1973,FALSE,FALSE,"Iliwerung","Indonesia",1018,"Complex volcano",2,2,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-8.54,123.59
1979,FALSE,FALSE,"Karkar","Papua New Guinea",1839,"Stratovolcano",2,2,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-4.649,145.964
1981,FALSE,FALSE,"Etna","Italy",3350,"Stratovolcano",2,NA,"None/No Record",NA,"None/No Record",10,"SEVERE (~$5 to $24 million)",NA,"None/No Record",37.734,15.004
1982,FALSE,TRUE,"Chichon, El","Mexico",1150,"Tuff cone",5,1879,"Very Many (~1001 or more)",NA,"None/No Record",3.3,"MODERATE (~$1 to $5 million)",NA,"None/No Record",17.36,-93.228
1993,FALSE,FALSE,"Galeras","Colombia",4276,"Complex volcano",2,9,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",1.22,-77.37
2002,FALSE,TRUE,"Etna","Italy",3350,"Stratovolcano",3,NA,"None/No Record",32,"Few (~1 to 50)",NA,"MODERATE (~$1 to $5 million)",NA,"Some (~51 to 100)",37.734,15.004
2008,FALSE,FALSE,"Huila","Colombia",5365,"Stratovolcano",NA,10,"Few (~1 to 50)",NA,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",2.92,-76.05
2011,FALSE,FALSE,"Puyehue","Chile",2236,"Stratovolcano",4,NA,"None/No Record",NA,"None/No Record",NA,"MODERATE (~$1 to $5 million)",NA,"None/No Record",-40.59,-72.117
2013,FALSE,FALSE,"Okataina","New Zealand",1111,"Lava dome",NA,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-38.12,176.5
2014,FALSE,FALSE,"On-take","Japan",3063,"Complex volcano",3,55,"Some (~51 to 100)",70,"Some (~51 to 100)",NA,"None/No Record",NA,"None/No Record",35.9,137.48
2014,FALSE,FALSE,"Gamalama","Indonesia",1715,"Stratovolcano",NA,1,"Few (~1 to 50)",4,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",0.8,127.325
2018,FALSE,FALSE,"Mayon","Philippines",2462,"Stratovolcano",NA,NA,"None/No Record",1972,"Very Many (~1001 or more)",3.564,"MODERATE (~$1 to $5 million)",NA,"None/No Record",13.257,123.685
2018,FALSE,FALSE,"Manam","Papua New Guinea",1807,"Stratovolcano",4,NA,"None/No Record",NA,"None/No Record",NA,"SEVERE (~$5 to $24 million)",164,"Many (~101 to 1000)",-4.1,145.061
200,FALSE,FALSE,"Arhab, Harra of","Yemen",3100,"Volcanic field",NA,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",15.63,44.08
640,FALSE,FALSE,"Uwayrid, Harrat","Saudi Arabia",1900,"Volcanic field",2,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",27.08,37.25
1169,TRUE,FALSE,"Etna","Italy",3350,"Stratovolcano",NA,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",37.734,15.004
1600,FALSE,TRUE,"Huaynaputina","Peru",4850,"Stratovolcano",6,1500,"Very Many (~1001 or more)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-16.608,-70.85
1629,FALSE,FALSE,"Grimsvotn","Iceland",1725,"Caldera",2,4,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",64.42,-17.33
1717,FALSE,FALSE,"Bardarbunga","Iceland",2000,"Stratovolcano",3,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",64.63,-17.53
1778,FALSE,FALSE,"Raikoke","Russia",551,"Stratovolcano",4,15,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",48.292,153.25
1789,FALSE,FALSE,"Oshima","Japan",758,"Stratovolcano",2,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",34.73,139.38
1805,FALSE,FALSE,"Vesuvius","Italy",1281,"Complex volcano",2,4,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",40.821,14.426
1829,FALSE,FALSE,"Guntur","Indonesia",2249,"Complex volcano",2,NA,"Many (~101 to 1000)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-7.13,107.83
1837,TRUE,TRUE,"Peuet Sague","Indonesia",2801,"Complex volcano",NA,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",4.914,96.329
1853,TRUE,FALSE,"Unnamed","Taiwan",0,"Submarine volcano",2,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",24,121.83
1854,FALSE,FALSE,"Aso","Japan",1592,"Caldera",2,3,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",32.88,131.1
1860,FALSE,FALSE,"Semeru","Indonesia",3676,"Stratovolcano",2,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",-8.108,112.92
1871,TRUE,TRUE,"Camiguin","Philippines",1332,"Stratovolcano",2,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"SEVERE (~$5 to $24 million)",NA,"Many (~101 to 1000)",9.203,124.673
1875,FALSE,FALSE,"Askja","Iceland",1516,"Stratovolcano",5,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",65.03,-16.75
1886,FALSE,FALSE,"Tungurahua","Ecuador",5023,"Stratovolcano",4,2,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-1.467,-78.442
1886,FALSE,FALSE,"Okataina","New Zealand",1111,"Lava dome",2,153,"Many (~101 to 1000)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-38.12,176.5
1893,FALSE,FALSE,"Calbuco","Chile",2003,"Stratovolcano",4,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",-41.326,-72.614
1951,FALSE,FALSE,"Camiguin","Philippines",1332,"Stratovolcano",3,500,"Many (~101 to 1000)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",9.203,124.673
1953,TRUE,FALSE,"Myojun Knoll","Japan",360,"Submarine volcano",2,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",32.1,139.85
1957,FALSE,FALSE,"Unzen","Japan",1500,"Complex volcano",NA,13,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",32.75,130.3
1981,FALSE,FALSE,"Semeru","Indonesia",3676,"Stratovolcano",3,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-8.108,112.92
1993,FALSE,FALSE,"Wurlali","Indonesia",868,"Stratovolcano",NA,1,"Few (~1 to 50)",12,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",-7.125,128.675
1993,FALSE,FALSE,"Pinatubo","Philippines",1486,"Stratovolcano",1,4,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",15.13,120.35
1996,FALSE,FALSE,"Kanlaon","Philippines",2435,"Stratovolcano",2,3,"Few (~1 to 50)",18,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",10.412,123.132
2013,FALSE,FALSE,"Mayon","Philippines",2462,"Stratovolcano",NA,5,"Few (~1 to 50)",8,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",13.257,123.685
2017,FALSE,FALSE,"Etna","Italy",3350,"Stratovolcano",NA,NA,"None/No Record",10,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",37.734,15.004
2017,FALSE,FALSE,"Dieng Volc Complex","Indonesia",2565,"Complex volcano",NA,8,"Few (~1 to 50)",11,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",-7.2,109.92
450,FALSE,FALSE,"Ilopango","El Salvador",450,"Caldera",6,30000,"Very Many (~1001 or more)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",13.672,-89.053
1565,FALSE,TRUE,"Pacaya","Guatemala",2552,"Complex volcano",3,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",14.381,-90.601
1716,FALSE,FALSE,"Kirishima","Japan",1700,"Shield volcano",3,1,"Few (~1 to 50)",31,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",31.93,130.87
1721,FALSE,FALSE,"Asama","Japan",2560,"Complex volcano",1,15,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",36.4,138.53
1762,FALSE,FALSE,"Kliuchevskoi","Russia",4835,"Stratovolcano",2,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",56.057,160.638
1784,FALSE,FALSE,"Sabancaya","Peru",5967,"Stratovolcano",NA,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",-15.78,-71.85
1786,FALSE,FALSE,"Dieng Volc Complex","Indonesia",2565,"Complex volcano",2,38,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"Some (~51 to 100)",-7.2,109.92
1800,FALSE,FALSE,"Guntur","Indonesia",2249,"Complex volcano",NA,NA,"Many (~101 to 1000)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-7.13,107.83
1800,FALSE,FALSE,"Hualalai","United States",2523,"Shield volcano",0,2,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",19.692,-155.87
1839,TRUE,FALSE,"Unnamed","Chile",-642,"Submarine volcano",2,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-33.62,-76.83
1861,FALSE,FALSE,"Grimsvotn","Iceland",1725,"Caldera",2,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",64.42,-17.33
1878,TRUE,TRUE,"Rabaul","Papua New Guinea",688,"Pyroclastic shield",3,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-4.271,152.203
1901,FALSE,FALSE,"Kelut","Indonesia",1731,"Stratovolcano",3,NA,"Some (~51 to 100)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-7.93,112.308
1911,TRUE,TRUE,"Taal","Philippines",400,"Stratovolcano",3,1335,"Very Many (~1001 or more)",199,"Many (~101 to 1000)",NA,"SEVERE (~$5 to $24 million)",543,"Many (~101 to 1000)",14.002,120.993
1917,FALSE,FALSE,"Lengai, Ol Doinyo","Tanzania",2890,"Stratovolcano",3,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",-2.751,35.902
1921,FALSE,FALSE,"Nasu","Japan",1917,"Stratovolcano",NA,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",37.12,139.97
1933,FALSE,FALSE,"Hakone","Japan",1438,"Complex volcano",NA,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",35.22,139.02
1941,FALSE,FALSE,"Semeru","Indonesia",3676,"Stratovolcano",2,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",-8.108,112.92
1944,FALSE,FALSE,"Usu","Japan",731,"Stratovolcano",2,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",42.53,140.83
1947,FALSE,FALSE,"Hekla","Iceland",1491,"Stratovolcano",4,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",63.98,-19.7
1976,FALSE,FALSE,"Kusatsu-Shirane","Japan",2176,"Stratovolcano",NA,3,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",36.62,138.55
1979,FALSE,FALSE,"Etna","Italy",3350,"Stratovolcano",2,9,"Few (~1 to 50)",23,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",37.734,15.004
1982,FALSE,FALSE,"Galunggung","Indonesia",2168,"Stratovolcano",4,68,"Some (~51 to 100)",NA,"None/No Record",15,"SEVERE (~$5 to $24 million)",NA,"None/No Record",-7.25,108.05
1988,FALSE,FALSE,"Arenal","Costa Rica",1657,"Stratovolcano",3,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",10.463,-84.703
2005,FALSE,FALSE,"Karthala","Comoros",2361,"Shield volcano",NA,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",-11.75,43.38
2010,FALSE,FALSE,"Tengger Caldera","Indonesia",2329,"Stratovolcano",NA,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",-7.942,112.95
-141,FALSE,FALSE,"Etna","Italy",3350,"Stratovolcano",NA,40,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",37.734,15.004
1262,FALSE,FALSE,"Katla","Iceland",1512,"Subglacial volcano",3,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",63.63,-19.05
1300,FALSE,FALSE,"Hekla","Iceland",1491,"Stratovolcano",4,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",63.98,-19.7
1331,FALSE,FALSE,"Aso","Japan",1592,"Caldera",2,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",32.88,131.1
1714,TRUE,FALSE,"Vesuvius","Italy",1281,"Complex volcano",NA,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",40.821,14.426
1907,TRUE,FALSE,"Savai'i","Samoa",1858,"Shield volcano",NA,NA,"None/No Record",NA,"None/No Record",NA,"SEVERE (~$5 to $24 million)",NA,"Many (~101 to 1000)",-13.612,-172.525
1911,FALSE,FALSE,"Asama","Japan",2560,"Complex volcano",2,NA,"Many (~101 to 1000)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",36.4,138.53
1913,FALSE,FALSE,"Colima","Mexico",3850,"Stratovolcano",4,13,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",19.514,-103.62
1944,FALSE,FALSE,"Cleveland","United States",1730,"Stratovolcano",3,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",52.82,-169.95
1952,TRUE,FALSE,"Myojun Knoll","Japan",360,"Submarine volcano",2,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",32.1,139.85
1960,TRUE,TRUE,"Puyehue","Chile",2236,"Stratovolcano",3,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-40.59,-72.117
1971,FALSE,FALSE,"La Palma","Spain",2426,"Stratovolcano",2,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",28.58,-17.83
1972,TRUE,FALSE,"Ritter Island","Papua New Guinea",140,"Stratovolcano",1,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-5.52,148.121
1979,FALSE,FALSE,"Soufriere St. Vincent","St. Vincent & the Grenadines",1220,"Stratovolcano",3,2,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",13.33,-61.18
1983,FALSE,TRUE,"Miyake-jima","Japan",815,"Stratovolcano",3,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",34.08,139.53
1984,FALSE,FALSE,"Etna","Italy",3350,"Stratovolcano",3,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",37.734,15.004
1990,FALSE,FALSE,"Aso","Japan",1592,"Caldera",2,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",32.88,131.1
1991,FALSE,FALSE,"Etna","Italy",3350,"Stratovolcano",2,NA,"None/No Record",NA,"None/No Record",2.5,"MODERATE (~$1 to $5 million)",NA,"None/No Record",37.734,15.004
1994,FALSE,FALSE,"Semeru","Indonesia",3676,"Stratovolcano",3,6,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-8.108,112.92
2007,FALSE,FALSE,"Salak","Indonesia",2211,"Stratovolcano",NA,6,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-6.72,106.73
2017,FALSE,FALSE,"Fuego","Guatemala",3763,"Stratovolcano",2,NA,"None/No Record",NA,"None/No Record",NA,"MODERATE (~$1 to $5 million)",NA,"None/No Record",14.473,-90.88
2017,FALSE,FALSE,"Aoba","Vanuatu",1496,"Shield volcano",NA,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",-15.4,167.83
2018,FALSE,FALSE,"Aoba","Vanuatu",1496,"Shield volcano",3,4,"Few (~1 to 50)",NA,"None/No Record",NA,"MODERATE (~$1 to $5 million)",NA,"Few (~1 to 50)",-15.4,167.83
2019,TRUE,FALSE,"Stromboli","Italy",926,"Stratovolcano",2,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",38.789,15.213
1631,FALSE,TRUE,"Dama Ali","Ethiopia",1068,"Shield volcano",NA,50,"Few (~1 to 50)",NA,"None/No Record",NA,"MODERATE (~$1 to $5 million)",NA,"None/No Record",11.28,41.63
1659,TRUE,FALSE,"Teon","Pacific Ocean",655,"Stratovolcano",4,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-6.92,129.125
1664,TRUE,FALSE,"Iwo-Tori-shima","Japan",217,"Complex volcano",NA,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",27.85,128.25
1707,TRUE,FALSE,"Santorini","Greece",329,"Shield volcano",NA,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",36.404,25.396
1729,FALSE,FALSE,"Krafla","Iceland",650,"Caldera",2,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",65.73,-16.78
1780,FALSE,FALSE,"Sakura-jima","Japan",1117,"Stratovolcano",4,NA,"Many (~101 to 1000)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",31.58,130.67
1835,FALSE,TRUE,"Banda Api","Pacific Ocean",640,"Caldera",NA,NA,"Many (~101 to 1000)",NA,"None/No Record",NA,"MODERATE (~$1 to $5 million)",NA,"Some (~51 to 100)",-4.525,129.871
1843,TRUE,FALSE,"Soufriere Guadeloupe","Guadeloupe",1467,"Stratovolcano",NA,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",16.05,-61.67
1854,FALSE,FALSE,"Shiveluch","Russia",3283,"Stratovolcano",5,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",56.653,161.36
1856,TRUE,FALSE,"Shishaldin","United States",2857,"Stratovolcano",NA,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",54.75,-163.97
1860,FALSE,FALSE,"Fuego","Guatemala",3763,"Stratovolcano",2,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",14.473,-90.88
1868,TRUE,TRUE,"Etna","Italy",3350,"Stratovolcano",NA,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",37.734,15.004
1872,FALSE,FALSE,"Merapi","Indonesia",2947,"Stratovolcano",4,170,"Many (~101 to 1000)",NA,"None/No Record",NA,"None/No Record",NA,"Some (~51 to 100)",-7.542,110.442
1875,FALSE,FALSE,"Kelut","Indonesia",1731,"Stratovolcano",0,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"MODERATE (~$1 to $5 million)",NA,"Some (~51 to 100)",-7.93,112.308
1878,TRUE,TRUE,"Yasur","Vanuatu",361,"Stratovolcano",NA,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-19.52,169.425
1909,FALSE,TRUE,"Cameroon, Mt.","Cameroon",4095,"Stratovolcano",2,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",4.203,9.17
1914,FALSE,FALSE,"Pago","Papua New Guinea",742,"Caldera",3,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-5.58,150.52
1917,FALSE,FALSE,"Okataina","New Zealand",1111,"Lava dome",1,2,"Few (~1 to 50)",3,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",-38.12,176.5
1930,TRUE,FALSE,"Krakatau","Indonesia",813,"Caldera",2,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-6.102,105.423
1930,TRUE,FALSE,"Stromboli","Italy",926,"Stratovolcano",3,5,"Few (~1 to 50)",20,"Few (~1 to 50)",NA,"MODERATE (~$1 to $5 million)",NA,"None/No Record",38.789,15.213
1934,FALSE,FALSE,"Hood","United States",3426,"Stratovolcano",NA,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",45.374,-121.694
1946,TRUE,FALSE,"Sarychev Peak","Russia",1496,"Stratovolcano",4,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",48.092,153.2
1954,TRUE,FALSE,"Stromboli","Italy",926,"Stratovolcano",NA,NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",38.789,15.213
1955,FALSE,FALSE,"Sakura-jima","Japan",1117,"Stratovolcano",3,NA,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",31.58,130.67
1962,FALSE,FALSE,"Merapi","Indonesia",2947,"Stratovolcano",NA,2,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-7.542,110.442
1990,FALSE,FALSE,"Kelut","Indonesia",1731,"Stratovolcano",4,32,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"None/No Record",-7.93,112.308
1993,FALSE,FALSE,"Unzen","Japan",1500,"Complex volcano",1,1,"Few (~1 to 50)",NA,"None/No Record",NA,"None/No Record",NA,"Few (~1 to 50)",32.75,130.3
2010,FALSE,FALSE,"Karangetang [Api Siau]","Indonesia",1784,"Stratovolcano",3,4,"Few (~1 to 50)",5,"Few (~1 to 50)",NA,"None/No Record",NA,"Few (~1 to 50)",2.78,125.48
2014,FALSE,FALSE,"Kilauea","United States",1222,"Shield volcano",NA,NA,"None/No Record",NA,"None/No Record",14.5,"SEVERE (~$5 to $24 million)",1,"Few (~1 to 50)",19.425,-155.292
2016,FALSE,FALSE,"Sinabung","Indonesia",2460,"Stratovolcano",NA,1,"Few (~1 to 50)",4,"Few (~1 to 50)",NA,"LIMITED (~<$1 million)",3,"Few (~1 to 50)",3.17,98.392
2019,FALSE,FALSE,"Manam","Papua New Guinea",1807,"Stratovolcano",4,NA,"None/No Record",NA,"None/No Record",NA,"LIMITED (~<$1 million)",NA,"None/No Record",-4.1,145.061
